id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3498,Lokaunet,Hydro,Reservoir,Store,Norway,9.3,,1926.0,1926.0,,63.268184,10.458287,,0.0,52.0,0.0,{nan},"{'JRC': {'JRC-N259'}, 'OPSD': {'OEU-3940'}}"
3499,Mael,Hydro,Reservoir,Store,Norway,37.5,,1957.0,1957.0,,59.919954,8.777258,,0.0,44.79,0.0,{nan},"{'JRC': {'JRC-N284'}, 'OPSD': {'OEU-4020'}}"
3500,Madland,Hydro,Reservoir,Store,Norway,1.88,,2010.0,2010.0,,58.782886,6.09244,,1.0,84.0,0.0,{nan},"{'JRC': {'JRC-N1487'}, 'OPSD': {'OEU-3943'}}"
3501,Lysvatn,Hydro,Reservoir,Store,Norway,4.1,,1963.0,1963.0,,66.875106,13.84261,4862.439024390244,28.0,284.0,19936.0,{nan},"{'JRC': {'JRC-N258'}, 'OPSD': {'OEU-3937'}}"
3502,Lya,Hydro,Reservoir,Store,Norway,5.49,,2008.0,2008.0,,60.664311,8.680959,,0.0,184.0,0.0,{nan},"{'JRC': {'JRC-N1387'}, 'OPSD': {'OEU-3934'}}"
3503,Lutufallet,Hydro,Reservoir,Store,Norway,14.1,,1964.0,1964.0,,61.065634,12.581802,,0.0,13.69,0.0,{nan},"{'JRC': {'JRC-N255'}, 'OPSD': {'OEU-3933'}}"
3504,Luostejok,Hydro,Reservoir,Store,Norway,2.58,,2020.0,2020.0,,69.829488,25.167116,881.860465116279,31.6,28.3,2275.2,{nan},"{'JRC': {'JRC-N254'}, 'OPSD': {'OEU-3931'}}"
3505,Lovik,Hydro,Reservoir,Store,Norway,1.2,,1952.0,1952.0,,68.927248,15.776617,2081.25,13.5,92.0,2497.5,{nan},"{'JRC': {'JRC-N253'}, 'OPSD': {'OEU-3928'}}"
3506,Lotsberg,Hydro,Reservoir,Store,Norway,1.45,,2010.0,2010.0,,61.862941,6.098853,,0.0,271.0,0.0,{nan},"{'JRC': {'JRC-N1595'}, 'OPSD': {'OEU-3927'}}"
3507,Lopet,Hydro,Reservoir,Store,Norway,29.0,,1971.0,1971.0,,61.163873,11.456755,277.58620689655174,175.0,18.89,8050.000000000001,{nan},"{'JRC': {'JRC-N260'}, 'OPSD': {'OEU-3941'}}"
3508,Longerak,Hydro,Reservoir,Store,Norway,1.3,,1915.0,1915.0,,58.752982,7.857013,4951.923076923077,12.5,298.0,6437.5,{nan},"{'JRC': {'JRC-N232'}, 'OPSD': {'OEU-3925'}}"
3509,Lomen,Hydro,Reservoir,Store,Norway,54.5,,1983.0,1983.0,,61.140411,8.881986,595.0091743119266,44.0,308.0,32427.999999999996,{nan},"{'JRC': {'JRC-N251'}, 'OPSD': {'OEU-3922'}}"
3510,Logna,Hydro,Reservoir,Store,Norway,20.2,,1961.0,1961.0,,58.763639,7.51007,2495.366336633663,143.2,146.39,50406.399999999994,{nan},"{'JRC': {'JRC-N250'}, 'OPSD': {'OEU-3920'}}"
